County,Population at Risk,Cases,Crude Rate,Age-adjusted Rate,95% Confidence Interval-Lower Limit,95% Confidence Interval-Upper Limit
Shasta,894595,6121,684.22,493.17,480.3,506.32
Butte,1126034,6520,579.02,459.91,448.32,471.73
Colusa - Glenn - Tehama,563306,3216,570.92,459.25,443.08,475.88
Placer,1874926,11224,598.64,454.11,445.52,462.83
Marin,1304068,8331,638.85,437.72,427.93,447.69
Sierra - Yuba,388184,1710,440.51,436.41,415.35,458.25
Lake,320474,2050,639.68,430.64,410.93,451.13
San Luis Obispo,1400596,7913,564.97,429.19,419.34,439.22
El Dorado,925075,5631,608.71,428.89,417.16,440.9
Sacramento,7477001,34120,456.33,427.75,423.13,432.41
Santa Barbara,2214981,10281,464.16,426.45,418.05,434.98
Solano,2174904,10560,485.54,424.01,415.72,432.42
Sonoma,2504716,13839,552.52,422.02,414.73,429.42
Napa,705025,3865,548.21,421.63,408.08,435.54
Del Norte - Humboldt,814659,4178,512.85,416.48,403.42,429.88
Mendocino,437484,2525,577.16,415.39,398.33,433.05
Contra Costa,5618392,27017,480.87,414.45,409.42,419.54
Santa Cruz,1366316,6442,471.49,411.47,401.01,422.13
Alpine - Amador - Calaveras,417288,2932,702.63,409.7,393.61,426.4
Ventura,4239168,19524,460.56,409.53,403.69,415.44
San Diego,16418326,70380,428.67,406.86,403.8,409.93
Stanislaus,2678421,10950,408.82,406.5,398.8,414.32
San Mateo,3817251,18112,474.48,399.79,393.88,405.78
San Joaquin,3620763,14347,396.24,399.01,392.39,405.72
Yolo,1063026,3986,374.97,398.02,385.49,410.85
Kern,4393721,15419,350.93,396.38,390,402.83
Sutter,477915,2131,445.9,395.78,378.91,413.23
Nevada,494188,3256,658.86,395.36,380.65,410.58
Orange,15779078,68369,433.29,394.93,391.93,397.94
Fresno,4858079,17961,369.71,393.12,387.29,399.02
Madera,772201,3121,404.17,392.65,378.75,406.92
Mariposa - Tuolumne,357786,2336,652.9,390.94,373.99,408.58
Riverside,11775012,48683,413.44,389.94,386.45,393.46
San Francisco,4321314,19677,455.35,388.89,383.35,394.49
San Bernardino,10606099,38425,362.29,388.21,384.24,392.22
Lassen - Modoc - Plumas,296058,1575,531.99,381.53,362.09,401.84
Imperial,899784,3329,369.98,380.48,367.51,393.79
Monterey,2165842,8281,382.35,380.19,371.88,388.65
Alameda,8148075,33194,407.38,379.16,375,383.35
Siskiyou - Trinity,282832,1729,611.32,377.13,357.92,397.23
San Benito,293353,1130,385.2,376.5,354.23,399.8
Merced,1336950,4466,334.04,373.9,362.85,385.21
Santa Clara,9556129,37334,390.68,372.18,368.36,376.03
Los Angeles,50528612,195830,387.56,371.36,369.69,373.04
Kings,750917,2341,311.75,369.7,354.58,385.28
Tulare,2294044,7520,327.81,367.06,358.67,375.59
Inyo - Mono,161266,795,492.97,354.37,329.09,381.22
STATE,194914234,822676,422.07,393.75,392.88,394.62
